CREATION_DATE,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,LAUNCH_DATE,DECAY_DATE
2023-05-08T14:36:13,STARLINK-1007,2019-074A,EARTH,TEME,UTC,SGP4,2023-05-08T09:17:54.529152,15.06389676,0.0001446,53.052,158.7577,110.1855,249.929,0,19272,-0.00016746,-2.774e-05,0.0,6925.38,95.593,548.247,546.244,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1008,2019-074B,EARTH,TEME,UTC,SGP4,2023-05-08T08:47:25.517184,15.06399705,0.0001135,53.0521,158.8559,106.0727,254.0387,0,19272,0.0002505,3.452e-05,0.0,6925.349,95.592,548.0,546.428,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1009,2019-074C,EARTH,TEME,UTC,SGP4,2023-05-08T08:31:29.519328,15.06393756,0.0001347,53.0547,158.8969,128.2919,231.8191,0,19271,2.7046e-05,1.21e-06,0.0,6925.368,95.593,548.166,546.3,PAYLOAD,2019-11-11,
2023-05-08T14:46:13,STARLINK-1010,2019-074D,EARTH,TEME,UTC,SGP4,2023-05-08T08:58:02.443296,15.06398024,0.0001161,53.051,158.82,90.9462,269.166,0,19270,0.00017882,2.383e-05,0.0,6925.355,95.592,548.024,546.416,PAYLOAD,2019-11-11,
2023-05-08T14:46:13,STARLINK-1011,2019-074E,EARTH,TEME,UTC,SGP4,2023-05-08T10:30:55.492992,15.06381948,0.0001239,53.0522,178.5289,83.5298,276.5832,0,19245,0.001335,0.00019649,0.0,6925.404,95.593,548.127,546.411,PAYLOAD,2019-11-11,
2023-05-08T06:56:12,STARLINK-1012,2019-074F,EARTH,TEME,UTC,SGP4,2023-05-08T01:53:25.707264,15.06389143,0.0001172,53.0525,160.1418,82.5379,277.5743,0,19267,0.00016775,2.217e-05,0.0,6925.382,95.593,548.058,546.435,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1013,2019-074G,EARTH,TEME,UTC,SGP4,2023-05-08T08:26:11.708160,15.06391152,0.0001314,53.0511,158.9135,97.4295,262.6843,0,19271,-1.0353e-05,-4.36e-06,0.0,6925.376,95.593,548.151,546.331,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1014,2019-074H,EARTH,TEME,UTC,SGP4,2023-05-08T07:15:49.526784,15.06401237,0.0001745,53.0511,159.1232,126.24,233.875,0,19271,9.92e-05,1.196e-05,0.0,6925.345,95.592,548.418,546.001,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1015,2019-074J,EARTH,TEME,UTC,SGP4,2023-05-08T10:12:21.417696,15.06390891,0.0001498,53.0525,158.5912,82.7845,277.3315,0,19272,3.8601e-05,2.93e-06,0.0,6925.376,95.593,548.279,546.204,PAYLOAD,2019-11-11,
2023-02-10T02:37:16,STARLINK-1016,2019-074K,EARTH,TEME,UTC,SGP4,2023-02-09T19:19:07.354272,16.32045528,0.000777,53.0438,165.442,344.0748,154.61,0,17989,0.0036491,0.21032882,1.2269e-05,6565.185,88.233,192.152,181.949,PAYLOAD,2019-11-11,2023-02-09
2023-05-08T14:36:13,STARLINK-1017,2019-074L,EARTH,TEME,UTC,SGP4,2023-05-08T09:03:20.658816,15.06396482,0.0001179,53.0519,158.8029,87.2648,272.8476,0,19272,0.00044132,6.297e-05,0.0,6925.359,95.592,548.041,546.408,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1019,2019-074M,EARTH,TEME,UTC,SGP4,2023-05-08T09:45:49.090752,15.06388533,0.0001383,53.0525,158.6729,87.4279,272.6869,0,19272,4.9011e-05,4.48e-06,0.0,6925.384,95.593,548.206,546.291,PAYLOAD,2019-11-11,
2023-05-08T06:56:12,STARLINK-1020,2019-074N,EARTH,TEME,UTC,SGP4,2023-05-08T01:56:04.331616,15.06394389,0.0001259,53.0513,180.1335,83.7815,276.3317,0,19239,-3.253e-05,-7.66e-06,0.0,6925.366,95.592,548.103,546.359,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1021,2019-074P,EARTH,TEME,UTC,SGP4,2023-05-08T09:40:30.449280,15.0639067,0.000138,53.0522,158.691,88.6736,271.4411,0,19272,0.00010956,1.35e-05,0.0,6925.377,95.593,548.198,546.286,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1022,2019-074Q,EARTH,TEME,UTC,SGP4,2023-05-08T10:05:48.459264,15.76759668,0.0001383,53.0531,186.3174,75.161,284.9563,0,19235,9.6794e-05,0.00015238,0.0,6717.765,91.327,340.56,338.701,PAYLOAD,2019-11-11,
2021-12-20T13:26:10,STARLINK-1023,2019-074R,EARTH,TEME,UTC,SGP4,2021-12-20T08:21:51.524928,16.28816035,0.0011926,53.0564,197.062,249.1406,111.0187,0,11765,0.0026659,0.11407015,1.1984e-05,6573.86,88.408,203.565,187.886,PAYLOAD,2019-11-11,2021-12-20
2023-05-08T03:29:17,STARLINK-1024,2019-074S,EARTH,TEME,UTC,SGP4,2023-05-07T17:03:38.352384,15.44142791,0.0010919,53.0191,131.8864,29.654,330.5082,0,19282,0.00086233,0.00039987,0.0,6812.035,93.256,441.338,426.462,PAYLOAD,2019-11-11,
